node_1|node_2|edge|chunk_id|example
project management|organizational rules|should also be invoked|17b095dcac6e4db8b62f35527933f989|
project change management|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
configuration control|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
project planning|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
budgeting|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
scheduling|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
resource management|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
project communication planning|project implementation|is carried out as part of|17b095dcac6e4db8b62f35527933f989|
communication|stakeholders|is maintained with|c58cbe799f00482c898e194bb8f3d37a|
plans|stakeholders|are disseminated and approval obtained from|c58cbe799f00482c898e194bb8f3d37a|
organizational causes of risks|culture, attitudes, or disagreements concerning objectives|are present if|c58cbe799f00482c898e194bb8f3d37a|
organizational causes of risks|high levels of the organization's management and other stakeholders|should be involved in addressing openly|c58cbe799f00482c898e194bb8f3d37a|
chapter 8 plan risk responses|organizational causes of risks|may require addressing openly|c58cbe799f00482c898e194bb8f3d37a|
risk response success|project team and other stakeholders|is dependent on|7d7f5d02397b4d06adc45866db57697b|
risk owner|project risk management|belongs to|7d7f5d02397b4d06adc45866db57697b|
risk owner|identified risks|is assigned to|7d7f5d02397b4d06adc45866db57697b|
each agreed upon risk response|single risk action owner|has|7d7f5d02397b4d06adc45866db57697b|
responsibilities of people|what is expected of them|includes|7d7f5d02397b4d06adc45866db57697b|
project stakeholders|understanding and accepting the needs and authority of these roles|requires|7d7f5d02397b4d06adc45866db57697b|
management|risks with political organizational causes|takes ownership of|7d7f5d02397b4d06adc45866db57697b|
senior management|risk related contingency reserves|approves and tracks|7d7f5d02397b4d06adc45866db57697b|
risk response success|project team and other stakeholders|depends on|6696a0bd58a04e37acd5f27ede4966fd|
project risk management|risk owner|key roles for|6696a0bd58a04e37acd5f27ede4966fd|
identified risk|risk owner|is assigned to every|6696a0bd58a04e37acd5f27ede4966fd|
agreed upon risk response|risk action owner|has a single|6696a0bd58a04e37acd5f27ede4966fd|
responsibilities|people with corresponding responsibilities|should be aware of what is expected of them|6696a0bd58a04e37acd5f27ede4966fd|
project stakeholders|understand and accept the needs and authority of these roles|should understand and accept|6696a0bd58a04e37acd5f27ede4966fd|
risks with political organizational causes|management|may take ownership of|6696a0bd58a04e37acd5f27ede4966fd|
risk related contingency reserves|senior management|should approve and track|6696a0bd58a04e37acd5f27ede4966fd|
timing of risk responses|project management plan|is integrated into|6cc11344b99a45f48962e0bfe5d4d892|
timing of risk responses|scheduling|is necessary for|6cc11344b99a45f48962e0bfe5d4d892|
timing of risk responses|assignment for execution|will be|6cc11344b99a45f48962e0bfe5d4d892|
responses that depend on uncertain conditions|monitoring|should also be|6cc11344b99a45f48962e0bfe5d4d892|
responses that depend on uncertain conditions|performed|are performed if the conditions warrant them|6cc11344b99a45f48962e0bfe5d4d892|
resource budget|project management plan|is part of|1ffab9caa3fb4e1b882ea551c29ce0af|
schedule|project management plan|is part of|1ffab9caa3fb4e1b882ea551c29ce0af|
response planning|project methodology|in accordance with|1ffab9caa3fb4e1b882ea551c29ce0af|
resource estimation|response planning|entails|1ffab9caa3fb4e1b882ea551c29ce0af|
budget updating|response planning|results from|1ffab9caa3fb4e1b882ea551c29ce0af|
schedule updating|response planning|results from|1ffab9caa3fb4e1b882ea551c29ce0af|
approval from management|response planning|requires|1ffab9caa3fb4e1b882ea551c29ce0af|
commitment from risk owners|response planning|requires|1ffab9caa3fb4e1b882ea551c29ce0af|
commitment from risk action owners|response planning|requires|1ffab9caa3fb4e1b882ea551c29ce0af|
management support|project manager|is vital for|1ffab9caa3fb4e1b882ea551c29ce0af|
authorizing resources|management|is role of|1ffab9caa3fb4e1b882ea551c29ce0af|
risks|responses|are developed to address|1588e06933cf4c5f95133d01b36cf4f9|
risks|responses|are related either by cause and effect or by common root cause|1588e06933cf4c5f95133d01b36cf4f9|
categorization of risks|risks|helps identify and address|1588e06933cf4c5f95133d01b36cf4f9|
risk breakdown structure|affinity diagram|are categorizing tools used for risks|1588e06933cf4c5f95133d01b36cf4f9|
plan risk responses process|risks aggregated during the perform quantitative risk analysis process|consider during the process|1588e06933cf4c5f95133d01b36cf4f9|
combination of risks|big risk to the project|e.g. ten small related risks combined may pose|1588e06933cf4c5f95133d01b36cf4f9|
generic responses|risks|are developed where possible|1588e06933cf4c5f95133d01b36cf4f9|
interaction effect of risks|one risk|if it occurs may affect the probability or impact of other risks|1588e06933cf4c5f95133d01b36cf4f9|
response strategy|deciding on the response strategy|may require a compromise|1588e06933cf4c5f95133d01b36cf4f9|
mutually exclusive or counterproductive responses|proposed responses|may be mutually exclusive or counterproductive|1588e06933cf4c5f95133d01b36cf4f9|
mitigating a threat to time|budget|e.g. mitigating a threat to time could cost money thereby increasing pressure on the budget|1588e06933cf4c5f95133d01b36cf4f9|
mitigating a threat to time|budget|costs|f48bf8dc02b14fcd80c930f737e05f19|
mitigating a threat to time|project pressure|increases|f48bf8dc02b14fcd80c930f737e05f19|
risk response planning|proposed responses|needs to take a holistic view of|f48bf8dc02b14fcd80c930f737e05f19|
proposed responses|coherence|needs to be ensured|f48bf8dc02b14fcd80c930f737e05f19|
planning responses to risks|strategies developed for treating the original risk|controls the potential effects of|f48bf8dc02b14fcd80c930f737e05f19|
overlooking the need to control the potential effects of strategies developed for treating the original risk|project threat level|can actually increase|f48bf8dc02b14fcd80c930f737e05f19|
overlooking the need to control the potential effects of strategies developed for treating the original risk|opportunity potential|can be compromised|f48bf8dc02b14fcd80c930f737e05f19|
appropriate responses|timely responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
timely responses|effective responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
effective responses|cost effective responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
cost effective responses|feasible responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
feasible responses|achievable responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
agreed upon responses|assigned and accepted responses|should be|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|consistency with organizational values|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|project objectives|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|stakeholder expectations|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|technical feasibility|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|ability of the project team|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
proposed risk response plan|ability of the risk action owners outside the project|needs to be assessed against|4c9591af59dd40cda2d72f987f2f9fdd|
response on the project objectives|overall impact of the response|balance between|4c9591af59dd40cda2d72f987f2f9fdd|
response on the project objectives|improvement in the risk profile of the project|balance between|4c9591af59dd40cda2d72f987f2f9fdd|
risk response planning|threats|addresses|64b732dcae4d4b7796b5e59cac23234f|
risk response planning|opportunities|provides for|64b732dcae4d4b7796b5e59cac23234f|
integrated plan|threats response strategies|combines|64b732dcae4d4b7796b5e59cac23234f|
integrated plan|opportunities response strategies|combines|64b732dcae4d4b7796b5e59cac23234f|
combined set of response strategies|risk response planning|derived from|64b732dcae4d4b7796b5e59cac23234f|
incomplete combined set of response strategies|risk response planning|results from|64b732dcae4d4b7796b5e59cac23234f|
invalid combined set of response strategies|risk response planning|results from|64b732dcae4d4b7796b5e59cac23234f|
risk response planning|open-minded manner|carried out in|6d29b5f235094f928fa6e5061a56ac1b|
risk response planning|first response|should not adopt|6d29b5f235094f928fa6e5061a56ac1b|
risk response planning|general strategic level|should be planned at|6d29b5f235094f928fa6e5061a56ac1b|
general strategic level|detailed tactical approach|validated and agreed upon prior to developing|6d29b5f235094f928fa6e5061a56ac1b|
general strategic level|actions at the tactical level|should be expanded into|6d29b5f235094f928fa6e5061a56ac1b|
general strategic level|project management plan|should be integrated into|6d29b5f235094f928fa6e5061a56ac1b|
actions at the tactical level|schedule|assignment|6d29b5f235094f928fa6e5061a56ac1b|
actions at the tactical level|budget|assignment|6d29b5f235094f928fa6e5061a56ac1b|
actions at the tactical level|resource assignments|assignment|6d29b5f235094f928fa6e5061a56ac1b|
risk response planning|additional secondary risks|may generate which will need to be addressed at this time|6d29b5f235094f928fa6e5061a56ac1b|
plan risk responses process|success factors|is important for|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.1|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.2|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.3|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.4|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.5|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.6|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.7|described in|da87f54083b14d1a8e97c6e4fc859e14|
success factors|section 8.2.8|described in|da87f54083b14d1a8e97c6e4fc859e14|
figure 8.1|critical success factors for risk response planning|shown in|da87f54083b14d1a8e97c6e4fc859e14|
threat|project|affects|ceb0f082a7ee4d81aecd0e4a3514f6ec|
opportunity|project|occurs for|ceb0f082a7ee4d81aecd0e4a3514f6ec|
strategy (8.3.1)|threat|involves addressing|ceb0f082a7ee4d81aecd0e4a3514f6ec|
strategy (8.3.1)|opportunity|involves taking advantage of|ceb0f082a7ee4d81aecd0e4a3514f6ec|
actions required to address a threat or an opportunity|strategy (8.3.1)|is part of|ceb0f082a7ee4d81aecd0e4a3514f6ec|
actions required to address a threat|threat|is necessary for mitigation|ceb0f082a7ee4d81aecd0e4a3514f6ec|
actions required to exploit an opportunity|opportunity|is necessary for taking advantage of|ceb0f082a7ee4d81aecd0e4a3514f6ec|
threat transfer strategy|third party|entails|e053ccf7b99141b7af1b536fd955d784|
threat transfer strategy|particular threat|relates to|e053ccf7b99141b7af1b536fd955d784|
third party|particular threat|is better positioned to address|e053ccf7b99141b7af1b536fd955d784|
mitigation|threat|decreases the probability and/or the impact of|4aa3901083624a2a9deea0d5b7204269|
enhancement|opportunity|increases the probability and/or the impact of|4aa3901083624a2a9deea0d5b7204269|
response strategies|mitigation enhancement|are the most widely applicable and widely used|4aa3901083624a2a9deea0d5b7204269|
acceptance strategy|threat|applies to|75a80184d8cc41329230b0757bf93483|
acceptance strategy|opportunity|applies to|75a80184d8cc41329230b0757bf93483|
acceptance strategy|other strategies|is not considered applicable or feasible|75a80184d8cc41329230b0757bf93483|
acceptance strategy|risk management processes|involves|75a80184d8cc41329230b0757bf93483|
acceptance strategy|contingency or fallback plans|developed ahead of time if the risk presents itself|75a80184d8cc41329230b0757bf93483|
overall project risk|cancel the project as a last resort|is a strategy to address|32e16f2690c840f9b0ec85374e23dd4d|
overall project risk|set up a business structure to share risk|is a strategy to address|32e16f2690c840f9b0ec85374e23dd4d|
overall project risk|replan the project or change the scope|is a strategy to address|32e16f2690c840f9b0ec85374e23dd4d|
overall project risk|pursue the project despite a risk exposure that exceeds the desired level|is a strategy to address|32e16f2690c840f9b0ec85374e23dd4d|
overall project risk|the customer and the supplier|share the risk (implied)|32e16f2690c840f9b0ec85374e23dd4d|
individual risks|responding to individual risks|is separate from|32e16f2690c840f9b0ec85374e23dd4d|
project manager|risk response strategies|develops|0a932ce31ffb44489e596c0004f00d8e|
individual risks|risk response strategies|pertains to|0a932ce31ffb44489e596c0004f00d8e|
sets of risks|risk response strategies|pertains to|0a932ce31ffb44489e596c0004f00d8e|
project level risks|risk response strategies|pertains to|0a932ce31ffb44489e596c0004f00d8e|
stakeholders|risk response strategies|involved in determining|0a932ce31ffb44489e596c0004f00d8e|
entity that approves strategies|agreed upon risk response strategies|needs to be agreed upon by|0a932ce31ffb44489e596c0004f00d8e|
four strategies (address individual risks for threats and opportunities)|risk response strategies|described in sections 8.3.1 through 8.3.4|0a932ce31ffb44489e596c0004f00d8e|
chapter 8 plan risk responses|risk response strategies|given in|0a932ce31ffb44489e596c0004f00d8e|
response identification risk|potential risks|is based on|ef3789f435d943de890bce60165e64c8|
response identification risk|optimal set of responses|aims to determine|ef3789f435d943de890bce60165e64c8|
response planning|subject matter experts|involves|ef3789f435d943de890bce60165e64c8|
response planning|creativity techniques|employ|ef3789f435d943de890bce60165e64c8|
project planning and execution techniques|various options|are required to evaluate the potential effects on|ef3789f435d943de890bce60165e64c8|
project planning and execution techniques|project objectives|evaluate the potential effects of|ef3789f435d943de890bce60165e64c8|
response identification risk|potential risks|is based on|452874ecb345481c81178831d034c231|
response identification risk|optimal set of responses|aims to determine|452874ecb345481c81178831d034c231|
subject matter experts|response identification risk|involve|452874ecb345481c81178831d034c231|
creativity techniques|response identification risk|employ|452874ecb345481c81178831d034c231|
project planning and execution techniques|response identification risk|required to evaluate|452874ecb345481c81178831d034c231|
project objectives|potential effects of options|on|452874ecb345481c81178831d034c231|
response selection|set of potential responses for the risks being addressed|is established from|25f972af49dc4073b8615a11a049bddd|
decision support techniques|best possible subset from these responses|may need to be applied to select|25f972af49dc4073b8615a11a049bddd|
cost of the responses|selection process|should take into account|25f972af49dc4073b8615a11a049bddd|
impact on the project objectives|selection process|should take into account|25f972af49dc4073b8615a11a049bddd|
uncertainty of outcomes|selection process|should take into account|25f972af49dc4073b8615a11a049bddd|
possible secondary and residual risks|selection process|should take into account|25f972af49dc4073b8615a11a049bddd|
identify risks|perform quantitative risk analysis and plan risk responses processes|may then need to be applied to the resultant project management plan|25f972af49dc4073b8615a11a049bddd|
project management plan|residual and secondary risks that it would entail|would entail|25f972af49dc4073b8615a11a049bddd|
iterative approach|individual risks|continues until all of the individual risks are deemed acceptable|25f972af49dc4073b8615a11a049bddd|
iterative approach|overall risk|continues until all of the individual risks are deemed acceptable and the overall risk is within a predefined threshold|25f972af49dc4073b8615a11a049bddd|
action planning|project planning tools|is used by|c27669f74e1f4a369d8bf4cda4abb98a|
action planning|chosen strategies|turns into concrete actions|c27669f74e1f4a369d8bf4cda4abb98a|
action planning|existing plans|integrates into|c27669f74e1f4a369d8bf4cda4abb98a|
corresponding actions|project management plan|is integrated into unconditionally (unconditional)|c27669f74e1f4a369d8bf4cda4abb98a|
corresponding actions|trigger condition|is contingent on|c27669f74e1f4a369d8bf4cda4abb98a|
contingency response strategy|corresponding actions (predefined)|is predefined as|c27669f74e1f4a369d8bf4cda4abb98a|
project manager|resource assignment processes|uses|edac77aaf14940a786daee47ee7f354f|
project manager|owners for each risk|ensures the availability of|edac77aaf14940a786daee47ee7f354f|
owners for each risk|risks|manages|edac77aaf14940a786daee47ee7f354f|
owners for each response action|risk responses|carries out|edac77aaf14940a786daee47ee7f354f|
contingency response strategy|trigger conditions|includes a set of|edac77aaf14940a786daee47ee7f354f|
plan risk responses process|responsibility for monitoring these conditions|assigned|edac77aaf14940a786daee47ee7f354f|
plan risk responses process|monitor and control risks process|managed in|edac77aaf14940a786daee47ee7f354f|
risk action owners|assigned risks|monitors|edac77aaf14940a786daee47ee7f354f|
risk action owners|agreed upon actions|takes|edac77aaf14940a786daee47ee7f354f|
risk action owners|risk owners|provides relevant information on status or changes to the risk characteristics|edac77aaf14940a786daee47ee7f354f|
chapter 8 plan risk responses|measurable criteria for success of the response|includes|edac77aaf14940a786daee47ee7f354f|
risk action|risk owners|assigned to|bdd687cf88024955aaa4c8fabac27c71|
risk owners|project manager|informs of the situation|bdd687cf88024955aaa4c8fabac27c71|
risk action|risk characteristics|affects|bdd687cf88024955aaa4c8fabac27c71|
risk owners|risk actions|takes|bdd687cf88024955aaa4c8fabac27c71|
risk owners|risk effectiveness|assesses|bdd687cf88024955aaa4c8fabac27c71|
risk owners|additional actions|decides whether required|bdd687cf88024955aaa4c8fabac27c71|
chapter 8|plan risk responses|described in|bdd687cf88024955aaa4c8fabac27c71|
creativity tools|plan risk responses process|is part of|35abcc319b1841a4a30dc29d5b3cf35a|
decision support tools|plan risk responses process|is part of|35abcc319b1841a4a30dc29d5b3cf35a|
strategy implementation techniques|plan risk responses process|is part of|35abcc319b1841a4a30dc29d5b3cf35a|
tools to transfer control|monitor and control risks process|is part of|35abcc319b1841a4a30dc29d5b3cf35a|
creativity tools|potential responses identification|used to identify|35abcc319b1841a4a30dc29d5b3cf35a|
decision support tools|optimal potential response determination|used for determining|35abcc319b1841a4a30dc29d5b3cf35a|
strategy implementation techniques|strategy into action translation|designed to turn|35abcc319b1841a4a30dc29d5b3cf35a|
tools to transfer control|monitor and control risks process assignment|used for assigning|35abcc319b1841a4a30dc29d5b3cf35a|
plan risk responses steps|potential responses identification|involved in identifying|35abcc319b1841a4a30dc29d5b3cf35a|
plan risk responses steps|optimal potential response selection|involved in selecting|35abcc319b1841a4a30dc29d5b3cf35a|
plan risk responses steps|strategy into planning translation|involved in translating|35abcc319b1841a4a30dc29d5b3cf35a|
plan risk responses steps|corresponding actions assignment|involved in assigning|35abcc319b1841a4a30dc29d5b3cf35a|
risk register|risk response plan|is related to|b0c9d61194a346b9b8ebb1f424b2ef83|
risk register|interested stakeholder|provides information for|b0c9d61194a346b9b8ebb1f424b2ef83|
risk register|residual risks|contains|b0c9d61194a346b9b8ebb1f424b2ef83|
project management plan|detailed set of risk responses|includes|b0c9d61194a346b9b8ebb1f424b2ef83|
project management plan|costs|implies|b0c9d61194a346b9b8ebb1f424b2ef83|
project management plan|resource assignments|implies|b0c9d61194a346b9b8ebb1f424b2ef83|
project management plan|scheduling details|implies|b0c9d61194a346b9b8ebb1f424b2ef83|
project management plan|changes to project documentation|implies|b0c9d61194a346b9b8ebb1f424b2ef83|
risk response planning|formally approved changes|cannot be considered complete without|b0c9d61194a346b9b8ebb1f424b2ef83|
risk response planning|additional risks|cannot be considered complete without|b0c9d61194a346b9b8ebb1f424b2ef83|
risk evaluation|individual risks|is related to|f4372d1f57d54b338cf090bf9e01ed81|
risk evaluation|overall risks|is related to|f4372d1f57d54b338cf090bf9e01ed81|
risk evaluation|project management plan|relates to|f4372d1f57d54b338cf090bf9e01ed81|
risk evaluation|additional response planning|is prerequisite for|f4372d1f57d54b338cf090bf9e01ed81|
evaluation|expected post response situation|provides an estimate of|f4372d1f57d54b338cf090bf9e01ed81|
evaluation|potential improvement of risk exposure|provides an estimate of|f4372d1f57d54b338cf090bf9e01ed81|
evaluation|proposed responses|assumes the effectiveness of|f4372d1f57d54b338cf090bf9e01ed81|
project management plan|risk responses|contains|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|project risk management effectiveness|depends upon|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|approved plans|refers to|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|execution of approved plans|is carried out correctly|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|review and update of approved plans|should be executed regularly|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|invested effort|will be rewarded|f4372d1f57d54b338cf090bf9e01ed81|
chapter 9|future projects|benefit from this project s experience|f4372d1f57d54b338cf090bf9e01ed81|
risk response planning|identify risks and perform analysis processes|is based on|55d48766a52842598d3441fc016c727e|
risk register|risk response planning|provides information for|55d48766a52842598d3441fc016c727e|
execution of identify risks and perform analysis processes|risk register|populates|55d48766a52842598d3441fc016c727e|
risk response information|risk register|is a part of|55d48766a52842598d3441fc016c727e|
risk response plan|risk response information|refers to|55d48766a52842598d3441fc016c727e|
monitor and control risks process|primary objectives|has|b3d2df06587c415daceaf57d791e0231|
primary objectives|track identified risks|includes|b3d2df06587c415daceaf57d791e0231|
primary objectives|monitor residual risks|includes|b3d2df06587c415daceaf57d791e0231|
primary objectives|identify new risks|includes|b3d2df06587c415daceaf57d791e0231|
primary objectives|ensure that risk response plans are executed at the appropriate time|includes|b3d2df06587c415daceaf57d791e0231|
primary objectives|evaluate effectiveness throughout the project life cycle|includes|b3d2df06587c415daceaf57d791e0231|
monitor and control risks process|risk monitoring and controlling|is part of|b3d2df06587c415daceaf57d791e0231|
risk monitoring and controlling|tracking risk response actions|involves|b3d2df06587c415daceaf57d791e0231|
risk monitoring and controlling|managing the risk response actions|involves|b3d2df06587c415daceaf57d791e0231|
project risk management processes|effectiveness|should be reviewed to provide improvements|b3d2df06587c415daceaf57d791e0231|
for each risk or set of risks for which a contingent response has been defined|corresponding set of trigger conditions|should have been specified|b3d2df06587c415daceaf57d791e0231|
action owner|effectively monitoring conditions|is responsible for|b3d2df06587c415daceaf57d791e0231|
action owner|carrying out actions as defined in a timely manner|is responsible for|b3d2df06587c415daceaf57d791e0231|
plan risk responses process|all approved unconditional response|includes|b3d2df06587c415daceaf57d791e0231|
risk monitoring and controlling|checking whether approved unconditional response actions are included in the current project management plan|is part of|016b33fa57e44cf1adffdd812a20cb03|
risk monitoring and controlling|taking appropriate action if necessary|includes|016b33fa57e44cf1adffdd812a20cb03|
taking appropriate action|invoking the change management process|may result in|016b33fa57e44cf1adffdd812a20cb03|
effective communication|maintaining between risk owners, risk action owners, and project manager|is necessary for|016b33fa57e44cf1adffdd812a20cb03|
effective communication|ensuring that the designated stakeholders accept accountability for controlling the potential outcomes of specific risks|enables|016b33fa57e44cf1adffdd812a20cb03|
risk owners|being briefed on any changes that may affect their responsibilities|is governed by|016b33fa57e44cf1adffdd812a20cb03|
project manager|designated stakeholders|assigned accountability for|9431d9ba72fd417fb67fd74eda3747dd|
project manager|specific risks|controls the potential outcomes of|9431d9ba72fd417fb67fd74eda3747dd|
designated stakeholders|specific risks|accept accountability for|9431d9ba72fd417fb67fd74eda3747dd|
designated stakeholders|associated trigger conditions|track|9431d9ba72fd417fb67fd74eda3747dd|
designated stakeholders|response actions|carry out in a timely manner|9431d9ba72fd417fb67fd74eda3747dd|
response actions|trigger conditions|associated with|9431d9ba72fd417fb67fd74eda3747dd|
risk responses process|effectiveness of the response|provides a mechanism for measuring|9431d9ba72fd417fb67fd74eda3747dd|
risk action owner|response actions|owns|9431d9ba72fd417fb67fd74eda3747dd|
risk action owner|status of the response actions|keeps the risk owner aware of|9431d9ba72fd417fb67fd74eda3747dd|
risk owner|response actions|is kept informed about the status of|9431d9ba72fd417fb67fd74eda3747dd|
risk owner|risk|controls|9431d9ba72fd417fb67fd74eda3747dd|
risk owner|response actions|decides when the risk has been effectively dealt with or whether additional actions need to be planned and implemented|9431d9ba72fd417fb67fd74eda3747dd|
project manager|planning|should ensure that is kept current|9431d9ba72fd417fb67fd74eda3747dd|
project manager|project progress|monitors as|9431d9ba72fd417fb67fd74eda3747dd|
project manager|project environment|adapts to changes in|9431d9ba72fd417fb67fd74eda3747dd|
project progress|project environment|affects|9431d9ba72fd417fb67fd74eda3747dd|
risk management planning|project events|is influenced by|4cf562ebcc324dbc81080afd3dfc0807|
risk management planning|periodic risk reassessment|is necessary for|4cf562ebcc324dbc81080afd3dfc0807|
periodic risk reassessment|risk identification analysis|includes|4cf562ebcc324dbc81080afd3dfc0807|
periodic risk reassessment|response planning|includes|4cf562ebcc324dbc81080afd3dfc0807|
periodic risk reassessment|major organizational changes|may need to be revisited prior to reassessing the risks|4cf562ebcc324dbc81080afd3dfc0807|
project manager|periodic risk reassessment|ensures that is repeated|4cf562ebcc324dbc81080afd3dfc0807|
periodic risk reassessment|excessive administrative overhead|should not generate|4cf562ebcc324dbc81080afd3dfc0807|
typical reasons for risk reassessment|occurrence of a major or unexpected risk|includes|4cf562ebcc324dbc81080afd3dfc0807|
typical reasons for risk reassessment|complex change request|includes|4cf562ebcc324dbc81080afd3dfc0807|
typical reasons for risk reassessment|phase end review|includes|4cf562ebcc324dbc81080afd3dfc0807|
typical reasons for risk reassessment|project re planning or major plan elaboration|includes|4cf562ebcc324dbc81080afd3dfc0807|
typical reasons for risk reassessment|periodic review to ensure that the information remains current|includes|4cf562ebcc324dbc81080afd3dfc0807|
periodic audits|risk management planning|is performed to determine strengths and weaknesses in handling risks within the project|4cf562ebcc324dbc81080afd3dfc0807|
periodic audits|identifying any barriers to effectiveness|entails|4cf562ebcc324dbc81080afd3dfc0807|
regular status reviews|periodic audits|should be performed|bbfa1e9fe50f4c978adf83e705ec4cf0|
periodic audits|strengths and weaknesses in handling risks within the project|determine|bbfa1e9fe50f4c978adf83e705ec4cf0|
periodic audits|barriers to effectiveness or keys to success in risk management|identify|bbfa1e9fe50f4c978adf83e705ec4cf0|
improvements in risk management|recognition of barriers to effectiveness or keys to success in risk management|could lead to|bbfa1e9fe50f4c978adf83e705ec4cf0|
risk management process analysis|regular status reviews|is carried out with a focus on|bbfa1e9fe50f4c978adf83e705ec4cf0|
risk management process analysis|long term process improvements|consolidates the findings of|bbfa1e9fe50f4c978adf83e705ec4cf0|
risk management process analysis|lessons applicable in general to a large proportion of the organization's projects in the future|identifies|bbfa1e9fe50f4c978adf83e705ec4cf0|
project closure|description of the closure of every risk in the risk register|the project manager should ensure that a description has been given of|bbfa1e9fe50f4c978adf83e705ec4cf0|
project manager|risk register|ensures a description has been given|83871c0798a443889149d992bd1b60cf|
risk register|closure of every risk|contains|83871c0798a443889149d992bd1b60cf|
closure of every risk|did not occur|one of the possibilities|83871c0798a443889149d992bd1b60cf|
closure of every risk|occurred|one of the possibilities|83871c0798a443889149d992bd1b60cf|
closure of every risk|contingency plan invocation|associated event when occurred|83871c0798a443889149d992bd1b60cf|
closure of every risk|project scope impact (time, cost, quality)|impact to the project scope when occurred|83871c0798a443889149d992bd1b60cf|
audit of risk management process|consolidated information with respect to the project's experience of risks|output should be|83871c0798a443889149d992bd1b60cf|
consolidated information|project's experience of risks|with respect to|83871c0798a443889149d992bd1b60cf|
audit of risk management process|generally applicable guidelines for the organization|highlights any|83871c0798a443889149d992bd1b60cf|
audit of risk management process|potential actions proposed|proposes for applying them|83871c0798a443889149d992bd1b60cf|
potentially applied actions|corresponding organizational process assets|can lead to an update|83871c0798a443889149d992bd1b60cf|
monitor and control risks process|project manager|should be ensured by|83871c0798a443889149d992bd1b60cf|
monitor and control risks process|risk register|is involved in|83871c0798a443889149d992bd1b60cf|
chapter 9|monitor and control risks|discusses the steps involved in|83871c0798a443889149d992bd1b60cf|
risk trigger conditions|project schedule|is part of|051c86d6fb664c2cb2afb2dc8d4726c7|
risk trigger conditions|actions whose execution is dependent on a predefined trigger condition|affects|051c86d6fb664c2cb2afb2dc8d4726c7|
risk action owner|risk trigger conditions|is responsible for checking|051c86d6fb664c2cb2afb2dc8d4726c7|
risk owner|risk trigger conditions|works in close collaboration with|051c86d6fb664c2cb2afb2dc8d4726c7|
project manager|risk trigger conditions|has overall authority|051c86d6fb664c2cb2afb2dc8d4726c7|
risk awareness|status meetings|is a regular item on|71aedbb11bba4c439f989c293fbca080|
risk management|status meetings|should be included in|71aedbb11bba4c439f989c293fbca080|
team members|risk management|remain aware of the importance of|71aedbb11bba4c439f989c293fbca080|
project management decisions|risk management|should be fully integrated into|71aedbb11bba4c439f989c293fbca080|
senior level sponsor|regular reports on risks and planned responses|requires|71aedbb11bba4c439f989c293fbca080|
stakeholders|awareness of importance of risk management|is conditioned in part by|71aedbb11bba4c439f989c293fbca080|
senior level sponsor|stakeholders|ensures that stakeholders are aware of|71aedbb11bba4c439f989c293fbca080|
senior level sponsor feedback|project team|motivates|71aedbb11bba4c439f989c293fbca080|
risk handling|stakeholders perception of effectiveness of risk management|is conditioned in part by|71aedbb11bba4c439f989c293fbca080|
occurrence of a risk|information about the event and progress of responses|should be communicated|71aedbb11bba4c439f989c293fbca080|
occurrence of a risk|communication intervals|requires regular intervals|71aedbb11bba4c439f989c293fbca080|
occurrence of a risk|honest communication|should be communicated in an honest manner|71aedbb11bba4c439f989c293fbca080|
communication needs of stakeholders|occurrence of a risk and progress of responses|adapted to the needs of|71aedbb11bba4c439f989c293fbca080|
